player,nationality,position,age,value,games,minutes,goals,assists,xg,xa,npxg,shots_total,passes,tackles,pressures
Tim Krul,nl NED,GK,31,3000000,36,3240,0,0,0.0,0.0,0.0,0,1550,0,7
Mariusz StÄ™piĹ„ski,pl POL,FW,24,3000000,21,706,3,1,2.9,0.1,2.9,15,171,6,138
Xeka,pt POR,MF,24,7000000,17,709,0,0,1.0,1.1,1.0,9,448,21,209
Antonio Raillo,es ESP,DF,27,2000000,32,2775,1,0,1.8,0.2,1.8,14,1155,43,256
Salva Sevilla,es ESP,MF,35,20000,35,2568,5,3,3.8,3.4,1.5,31,1745,31,346
Nathan Redmond,eng ENG,"MF,FW",25,16000000,32,2762,4,4,5.0,3.2,5.0,59,1061,57,643
Mamadou Fofana,ml MLI,"DF,MF",21,3000000,20,1587,0,0,0.4,0.1,0.4,10,738,56,292
Pau LĂłpez,es ESP,GK,24,19000000,32,2880,0,0,0.0,0.0,0.0,0,1056,0,13
Ibrahima TraorĂ©,gn GUI,FW,31,80000,7,152,0,1,0.2,0.7,0.2,4,60,5,33
Nicolas Pallois,fr FRA,DF,31,2000000,21,1890,0,0,1.2,0.1,1.2,14,1024,59,211
Kenny Tete,nl NED,DF,23,5000000,18,1072,0,1,0.5,1.2,0.5,7,842,37,150
Pablo Fornals,es ESP,"MF,FW",23,16000000,36,2172,2,5,2.9,2.2,2.9,37,897,42,597
Pablo Zabaleta,ar ARG,DF,34,80000,10,592,0,0,0.0,0.4,0.0,1,326,15,93
Theo Valls,fr FRA,MF,23,2000000,23,1632,1,1,1.0,1.9,1.0,25,696,31,313
Roberto Gagliardini,it ITA,MF,25,12000000,24,1797,4,2,4.8,1.2,4.5,34,937,41,380
Alex Iwobi,ng NGA,"MF,FW",23,25000000,25,1596,1,0,2.4,2.3,2.4,23,614,27,369
Nicolas Cozza,fr FRA,DF,20,3000000,7,556,0,0,0.1,0.0,0.1,2,233,6,53
Klaus Gjasula,al ALB,MF,29,72500,29,2280,2,1,1.9,1.6,1.1,14,1154,74,523
DeAndre Yedlin,us USA,DF,26,6000000,16,938,1,0,0.7,0.3,0.7,1,316,19,181
Ibrahim Amadou,fr FRA,MF,26,5000000,10,770,0,0,0.4,0.0,0.4,4,292,16,161
Lorenzo Pirola,it ITA,DF,17,90000,1,12,0,0,0.0,0.0,0.0,0,9,0,3
Sergio Ălvarez,es ESP,GK,32,1000000,2,180,0,0,0.0,0.0,0.0,4,427,37,265
Elseid Hysaj,al ALB,DF,25,13000000,20,1481,1,2,0.3,1.4,0.3,5,1299,22,164
Marco Friedl,at AUT,DF,21,3000000,27,2183,1,3,1.2,1.9,1.2,12,1292,69,370
Sam Byram,eng ENG,DF,25,2000000,17,1293,0,0,1.2,0.5,1.2,16,763,46,236
Marco Asensio,es ESP,FW,23,32000000,9,336,3,1,1.7,1.0,1.7,9,163,5,34
Shkodran Mustafi,de GER,DF,27,12000000,15,1207,0,1,0.8,0.0,0.8,11,790,14,108
Jacob Bruun Larsen,dk DEN,"FW,MF",20,11000000,11,391,0,1,0.3,1.3,0.3,4,138,6,69
Fyodor Smolov,ru RUS,FW,29,6000000,14,743,2,0,2.3,0.4,2.3,15,196,2,139
Kevin Agudelo,co COL,"MF,FW",20,2000000,10,666,1,1,1.1,1.2,1.1,10,301,25,217
Florian Thauvin,fr FRA,FW,26,32000000,2,22,0,0,0.4,0.0,0.4,3,12,1,9
Simone Iacoponi,it ITA,DF,32,1000000,36,3053,2,0,0.9,0.3,0.9,10,1374,52,326
Kevin Vogt,de GER,DF,27,8000000,11,960,0,0,0.0,0.0,0.0,0,830,11,96
Jan Oblak,si SVN,GK,26,90000000,38,3395,0,0,0.0,0.0,0.0,0,960,0,1
Jefferson Lerma,co COL,MF,24,20000000,33,2703,1,2,1.2,1.8,1.2,30,1377,81,576
Domenico Criscito,it ITA,DF,32,2000000,26,2053,8,0,7.2,1.4,0.3,13,1250,69,310
Adam Smith,eng ENG,DF,28,7000000,24,2055,0,1,0.6,1.0,0.6,4,1061,52,406
Ludwig Augustinsson,se SWE,DF,25,9000000,12,924,0,1,0.2,1.2,0.2,5,534,30,164
Andrej KramariÄ‡,hr CRO,"FW,MF",28,32000000,19,1422,12,2,9.3,3.2,7.8,40,554,3,229
Thierry Ambrose,fr FRA,FW,22,1000000,18,548,0,0,1.3,0.5,1.3,23,193,7,122
Lucas Felippe,br BRA,"MF,DF",19,7500,2,28,0,0,0.0,0.0,0.0,1,22,1,3
Cesc FĂ bregas,es ESP,MF,32,6000000,18,930,0,3,0.5,2.3,0.5,9,761,13,217
Ethan Ampadu,wal WAL,DF,18,9000000,3,81,0,0,0.2,0.0,0.2,1,78,5,15
Nassim Boujellab,ma MAR,"MF,FW",20,90000,11,419,0,0,0.4,0.1,0.4,6,147,14,136
Gylfi SigurĂ°sson,is ISL,MF,29,18000000,35,2560,2,3,4.2,4.1,3.4,45,1109,60,651
KhĂ©phren Thuram-Ulie,fr FRA,MF,18,5500000,14,590,0,0,0.0,0.1,0.0,1,368,26,123
Daniel Parejo,es ESP,MF,30,10000000,35,3024,8,3,6.2,4.1,1.7,29,2398,62,650
Charlie Taylor,eng ENG,DF,25,4000000,24,1945,0,1,0.0,1.3,0.0,1,1035,43,224
KĂ©vin Soni,cm CMR,FW,21,20000,1,4,0,0,0.0,0.0,0.0,0,2,0,0
Leandro Paredes,ar ARG,MF,25,20000000,17,814,0,0,0.5,0.2,0.5,18,913,27,139
Thomas Lemar,fr FRA,MF,23,24000000,22,925,0,0,0.5,0.4,0.5,11,405,12,196
Nemanja Gudelj,rs SRB,"MF,DF",27,5000000,24,1216,0,0,0.3,0.1,0.3,7,678,19,137
Bartosz BereszyĹ„ski,pl POL,DF,27,6000000,28,2402,0,0,0.4,0.7,0.4,17,1332,61,379
Mirko Valdifiori,it ITA,MF,33,40000,22,1400,0,3,0.1,1.9,0.1,4,901,27,225
Robert IbĂˇĂ±ez,es ESP,"MF,FW",26,600,14,537,1,0,1.1,0.2,1.1,8,173,12,86
Hwang Ui-jo,kr KOR,"FW,MF",26,2500000,24,1633,6,2,3.5,0.9,3.5,36,426,9,247
Christian Eriksen,dk DEN,"MF,FW",27,68000000,20,1097,2,2,1.9,2.0,1.9,26,743,19,260
Andrea Ghezzi,it ITA,"DF,MF",0,15000,5,37,0,0,0.0,0.0,0.0,2,0,1,2
Christian Atsu,gh GHA,"FW,MF",27,4000000,19,749,0,3,0.2,0.9,0.2,5,208,12,243
Joshua King,no NOR,"FW,MF",27,16000000,26,2011,6,4,6.6,3.8,4.3,23,498,19,496
Florian Neuhaus,de GER,MF,22,17000000,30,2356,4,2,6.1,3.1,5.8,58,1275,46,503
Diego Farias,br BRA,"FW,MF",29,3000000,18,824,2,0,1.7,1.7,1.7,23,363,10,183
Habib Diallo,sn SEN,FW,24,12000000,26,2196,12,3,10.4,2.4,8.1,72,451,3,463
Bryan Cristante,it ITA,MF,24,20000000,26,1616,1,3,1.2,1.7,1.2,29,1072,25,301
Denis Vavro,sk SVK,DF,23,6000000,11,328,0,0,0.2,0.0,0.2,3,205,3,22
Alexander Hack,de GER,DF,25,1000000,14,805,0,0,0.7,0.2,0.7,7,412,28,121
Wilfried Kanga,fr FRA,FW,21,90000,4,68,0,0,0.2,0.1,0.2,2,17,0,19
Ryad Boudebouz,dz ALG,"MF,FW",29,2000000,24,1597,1,4,1.8,3.2,1.1,24,964,24,403
Panagiotis Tachtsidis,gr GRE,MF,28,95000,28,2003,0,2,0.7,1.3,0.7,26,1200,61,437
Jeff Hendrick,ie IRL,MF,27,9000000,24,1931,2,2,1.5,0.7,1.5,22,575,18,356
Nathan AkĂ©,nl NED,DF,24,28000000,29,2503,2,2,2.4,0.6,2.4,24,1183,25,222
Alex McCarthy,eng ENG,GK,29,4000000,28,2520,0,0,0.0,0.0,0.0,0,815,0,1
Wu Lei,cn CHN,"FW,MF",27,6000000,33,1719,4,0,5.5,1.7,5.5,45,317,18,296
Marko JankoviÄ‡,me MNE,"MF,DF",24,800,6,115,0,0,0.1,0.3,0.1,1,59,3,39
Jean-Philippe Gbamin,ci CIV,MF,23,22000000,2,136,0,0,0.0,0.0,0.0,0,67,5,29
Juan Cuadrado,co COL,DF,31,14000000,33,2654,2,5,1.5,4.5,1.5,20,2321,75,347
Lukas Lerager,dk DEN,MF,26,4000000,21,1387,1,1,1.3,1.6,1.3,14,600,34,298
Danilo Larangeira,br BRA,DF,35,600,30,2638,2,0,0.7,0.2,0.7,8,1246,46,346
Hugo Lloris,fr FRA,GK,32,14000000,21,1807,0,0,0.0,0.0,0.0,0,568,0,1
Ishak Belfodil,dz ALG,"FW,MF",27,12000000,5,269,0,0,1.1,0.2,1.1,10,65,1,13
Panagiotis Retsos,gr GRE,DF,20,8000000,3,114,0,0,0.0,0.0,0.0,0,99,5,23
Donovan LĂ©on,gf GUF,GK,26,32500,2,123,0,0,0.0,0.0,0.0,0,41,0,3
Federico Chiesa,it ITA,"FW,DF",21,48000000,34,2637,11,6,11.3,5.5,9.7,109,833,49,656
Sasa Lukic,rs SRB,MF,22,3500000,30,1861,1,1,0.9,0.6,0.9,18,843,44,473
Dodi Lukebakio,be BEL,"FW,MF",21,17000000,30,2031,7,6,6.1,5.0,6.1,38,637,33,311
Axel Disasi,fr FRA,DF,21,7000000,27,2430,1,0,2.2,0.5,2.2,15,1441,34,187
Marcos Llorente,es ESP,"MF,FW",24,16000000,29,1368,3,3,1.9,3.0,1.9,14,507,33,309
Amad TraorĂ©,ci CIV,FW,17,12000000,3,27,1,0,0.1,0.1,0.1,1,19,1,8
Rony Lopes,pt POR,FW,23,10000000,1,80,0,0,0.2,0.0,0.2,2,26,2,15
Hugo GuillamĂłn,es ESP,DF,19,20000,6,495,0,0,0.0,0.0,0.0,0,315,15,46
JosĂ© Ăngel,es ESP,DF,29,3000000,28,2360,1,1,0.6,2.4,0.6,24,1464,62,251
Papa Ndiaga Yade,sn SEN,FW,19,25000,2,4,0,0,0.0,0.0,0.0,0,3,0,1
Luis Alberto,es ESP,MF,26,50000000,36,3113,6,15,7.1,10.8,6.4,99,2264,52,677
Moanes Dabour,il ISR,FW,27,8000000,14,766,4,0,3.0,0.6,3.0,2,19,1,5
Adrien Silva,pt POR,MF,30,8000000,22,1221,0,2,0.5,1.4,0.5,14,835,38,349
Adnan Januzaj,be BEL,"FW,MF",24,9000000,24,1167,3,3,1.4,2.5,1.4,25,496,9,174
Thiago Cionek,pl POL,DF,33,47500,28,2169,0,1,0.4,1.0,0.4,11,1360,65,378
AurĂ©lien Chedjou,cm CMR,DF,34,325,22,1971,0,0,0.4,0.2,0.4,8,994,35,183
Pipa,es ESP,DF,21,700,7,473,0,0,0.4,0.2,0.4,1,218,13,80
Michael Lang,ch SUI,DF,28,95000,9,544,0,0,0.3,0.6,0.3,5,328,8,81
Nemanja RadonjiÄ‡,rs SRB,"FW,MF",23,5500000,21,880,5,1,2.8,0.9,2.8,30,347,9,168
Cucho,co COL,"FW,MF",20,8000000,22,1487,5,1,4.2,1.3,4.2,45,448,19,259
RogĂ©rio,br BRA,DF,21,6500000,15,1015,1,1,0.4,1.2,0.4,11,706,25,122
Jeffrey Bruma,nl NED,DF,27,3000000,8,675,0,0,0.4,0.0,0.4,7,296,15,74
Antonio Mirante,it ITA,GK,36,65000,5,450,0,0,0.0,0.0,0.0,0,172,0,1
Marek SuchĂ˝,cz CZE,DF,31,1000000,7,397,0,0,0.1,0.0,0.1,2,192,8,18
