player,nationality,position,age,value,games,minutes,goals,assists,xg,xa,npxg,shots_total,passes,tackles,pressures
Johannes Eggestein,de GER,"MF,FW",21,4000000,14,510,1,0,0.9,0.6,0.9,15,203,9,178
Yuya Osako,jp JPN,"FW,MF",29,3000000,28,1848,8,2,6.7,2.5,6.7,46,651,31,371
Craig Cathcart,nir NIR,DF,30,4000000,29,2488,0,0,0.3,0.0,0.3,2,864,37,195
Giacomo Manzari,it ITA,"FW,MF",18,10000,3,16,0,0,0.0,0.0,0.0,0,7,0,6
Santiago AscacĂ­bar,ar ARG,MF,22,8000000,8,634,0,1,0.0,0.1,0.0,2,308,32,203
JoĂŁo Moutinho,pt POR,MF,32,8000000,38,3108,1,6,0.8,6.1,0.8,22,2022,92,882
Marco Olivieri,it ITA,FW,20,20000,3,30,0,0,0.1,0.0,0.1,1,15,1,13
Alphonso Davies,ca CAN,DF,18,45000000,29,2234,3,5,2.1,3.6,2.1,12,1834,78,429
Martin Braithwaite,dk DEN,"FW,MF",28,9000000,24,1934,6,1,6.7,1.3,6.0,40,390,15,303
Daouda Peeters,be BEL,MF,20,10000,1,15,0,0,0.0,0.0,0.0,0,13,0,2
Fabinho,br BRA,MF,25,56000000,28,2079,2,3,0.4,1.8,0.4,12,1528,77,428
Danilo Cataldi,it ITA,MF,24,3000000,21,592,1,0,0.5,0.6,0.5,9,454,19,115
Fernando Pacheco,es ESP,GK,27,14000000,27,2358,0,0,0.0,0.0,0.0,0,814,0,2
James Tomkins,eng ENG,DF,30,4000000,18,1582,1,1,1.2,0.1,1.2,9,626,30,138
Bernard Tekpetey,gh GHA,"FW,MF",21,1000000,9,448,0,1,0.5,0.3,0.5,11,103,6,100
Levin Ă–ztunalÄ±,de GER,"MF,FW",23,2800000,27,1778,4,3,2.1,2.6,2.1,35,535,35,398
Valentin Eysseric,fr FRA,"MF,FW",27,1000000,6,353,0,0,0.5,0.8,0.5,5,146,4,64
Dominic Calvert-Lewin,eng ENG,FW,22,24000000,36,2626,13,1,14.3,1.0,14.3,83,594,15,471
Oumar Solet,fr FRA,DF,19,90000,1,9,0,0,0.0,0.0,0.0,0,5,0,1
Marc Navarro,es ESP,DF,24,1000000,4,219,0,0,0.2,0.0,0.2,5,79,3,23
Kastriot Dermaku,al ALB,DF,27,80000,16,1026,0,0,0.8,0.0,0.8,3,377,9,124
Pierre Kunde,cm CMR,MF,24,6000000,28,1866,4,0,3.1,1.8,3.1,38,1022,39,339
Yunus MallÄ±,tr TUR,"FW,MF",27,2800000,13,673,0,1,0.7,0.7,0.7,10,213,9,110
Alejandro Pozo Pozo,es ESP,DF,20,5000000,19,1498,1,2,0.3,1.2,0.3,6,856,39,306
Weston McKennie,us USA,"MF,DF",20,20000000,28,2074,3,0,2.4,2.1,2.4,32,1056,53,492
Andy Pelmard,fr FRA,DF,19,3000000,10,766,0,0,0.0,0.0,0.0,2,585,21,90
Nampalys Mendy,fr FRA,MF,27,5000000,7,291,0,0,0.0,0.1,0.0,1,212,7,42
Facundo Roncaglia,ar ARG,DF,32,1000000,16,1277,1,0,0.0,0.2,0.0,3,585,29,149
Ohis Felix Uduokhai,de GER,DF,21,12000000,26,1966,0,0,0.2,0.6,0.2,5,882,50,176
Wayne Hennessey,wal WAL,GK,32,2000000,3,270,0,0,0.0,0.0,0.0,0,103,0,0
Kelechi Iheanacho,ng NGA,FW,22,12000000,20,960,5,3,4.8,2.4,4.8,34,268,6,193
Keita BaldĂ©,sn SEN,"FW,MF",24,16000000,21,858,4,1,4.1,0.8,4.1,28,295,11,145
Emerson,br BRA,DF,20,25000000,33,2839,3,6,1.2,4.1,1.2,23,1604,83,469
Federico Valverde,uy URU,MF,21,54000000,33,1907,2,5,1.9,3.5,1.9,23,1119,36,375
Christophe HĂ©relle,mq MTQ,DF,26,5000000,15,1103,3,0,1.2,0.3,1.2,5,883,18,74
Predrag RajkoviÄ‡,rs SRB,GK,23,9000000,27,2430,0,0,0.0,0.0,0.0,0,998,1,2
Davide Biraschi,it ITA,DF,25,3000000,24,1971,0,1,0.3,0.5,0.3,6,1194,49,288
Bas Dost,nl NED,FW,30,5500000,24,1475,8,2,6.7,1.4,6.7,32,461,8,204
Andrea Poli,it ITA,MF,29,2000000,28,1919,2,0,2.0,1.8,2.0,24,1066,52,508
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",28,850,10,230,0,0,0.0,0.0,0.0,0,104,2,30
Lluis LĂłpez,es ESP,DF,22,1000000,4,300,0,0,0.1,0.0,0.1,2,245,2,29
Nayef Aguerd,ma MAR,DF,23,2000000,11,957,1,0,0.7,0.0,0.7,5,572,14,106
Willy Boly,ci CIV,DF,28,14000000,22,1979,0,1,0.3,0.3,0.3,4,959,61,271
Leonardo Bittencourt,de GER,FW,25,4000000,1,3,0,0,0.0,0.0,0.0,1,3,0,2
Nathan Tella,eng ENG,FW,20,750,1,3,0,0,0.1,0.0,0.1,1,1,0,2
Sami Khedira,de GER,MF,32,5000000,12,681,0,1,1.1,0.5,1.1,12,330,17,131
Pedro Bigas,es ESP,DF,28,1000000,23,1777,3,0,1.6,0.3,1.6,8,699,18,143
Jacopo Petriccione,it ITA,MF,24,2000000,31,2138,0,5,0.5,2.2,0.5,18,1264,39,362
Roberto Pereyra,ar ARG,"FW,MF",28,9000000,28,1648,3,0,2.5,1.8,1.7,19,654,16,340
Maya Yoshida,jp JPN,DF,30,4000000,8,560,0,0,0.5,0.0,0.5,4,247,7,43
Ă“scar Clemente,es ESP,MF,20,90000,1,4,0,0,0.0,0.0,0.0,0,2,0,2
Kenan Kodro,ba BIH,"FW,MF",25,80000,12,364,1,0,0.2,0.0,0.2,4,86,1,88
GermĂˇn SĂˇnchez,es ESP,DF,32,65000,28,2293,2,0,1.5,0.1,1.5,10,901,20,112
Ălex Berenguer,es ESP,"MF,FW",24,4000000,29,1823,6,2,4.3,3.1,4.3,40,791,22,441
Haris DuljeviÄ‡,ba BIH,"FW,MF",25,800,14,520,0,3,0.9,1.4,0.9,14,162,12,98
Julian Chabot,de GER,DF,21,3000000,8,569,1,0,0.1,0.0,0.1,1,238,14,67
Mohammed Salisu,gh GHA,DF,20,11000000,31,2725,1,1,1.2,0.1,1.2,7,1056,52,235
Rayan Philippe,fr FRA,"DF,FW",18,700,1,30,0,0,0.0,0.0,0.0,1,7,1,6
Pepe Reina,es ESP,GK,36,65000,12,1080,0,0,0.0,0.0,0.0,0,395,0,4
Kingsley Michael,ng NGA,MF,19,90000,1,76,0,0,0.0,0.1,0.0,0,58,1,15
Gervinho,ci CIV,FW,32,5000000,31,2270,7,4,8.9,2.3,8.1,56,512,8,307
Florian Grillitsch,at AUT,"MF,DF",23,20000000,31,2408,0,3,1.1,2.4,1.1,17,1775,67,407
Nolan Roux,fr FRA,FW,31,1000000,7,584,2,0,1.5,0.6,1.5,18,137,4,133
Ă‰dgar GonzĂˇlez,es ESP,MF,22,1000000,10,681,0,0,1.0,0.0,1.0,6,347,10,101
Thomas Pledl,de GER,"DF,MF",25,80000,5,91,0,0,0.0,0.1,0.0,1,38,4,42
Steve Cook,eng ENG,DF,28,9000000,29,2428,1,0,0.7,0.3,0.7,13,1222,22,164
Alexander Isak,se SWE,FW,19,22000000,37,1507,9,1,6.3,2.2,6.3,44,304,9,259
Eliaquim Mangala,fr FRA,DF,28,6000000,8,673,0,0,0.2,0.0,0.2,1,289,6,44
MartĂ­n Zubimendi,es ESP,MF,20,25000,9,524,0,0,0.1,0.2,0.1,4,420,18,140
Unai LĂłpez,es ESP,MF,23,2000000,26,1787,1,4,0.8,3.0,0.8,28,1210,38,339
Emanuele Ndoj,al ALB,MF,22,2000000,18,555,0,0,1.3,0.4,1.3,9,213,10,177
Mamadou DoucourĂ©,fr FRA,MF,21,45000,2,2,0,0,0.0,0.0,0.0,0,9,0,0
Jaume DomĂ©nech,es ESP,GK,28,6000000,15,1324,0,0,0.0,0.0,0.0,0,457,0,0
DjenĂ©,tg TOG,DF,27,25000000,34,3060,0,0,0.2,0.4,0.2,5,933,51,274
Davide Zappacosta,it ITA,DF,27,12000000,9,452,0,1,0.5,0.6,0.5,4,246,7,68
Unai SimĂłn,es ESP,GK,22,16000000,34,2991,0,0,0.0,0.0,0.0,0,1107,0,4
Stefan MitroviÄ‡,rs SRB,DF,29,2500000,23,2053,1,1,0.2,0.4,0.2,4,940,20,168
Filip Djuricic,rs SRB,"MF,FW",27,9000000,29,1633,5,5,3.3,4.2,3.3,41,698,29,317
Dennis Srbeny,de GER,"FW,MF",25,80000,17,1119,5,1,2.1,0.6,2.1,26,275,14,305
Morgan Schneiderlin,fr FRA,MF,29,9000000,15,1001,0,0,0.3,0.2,0.3,6,567,32,230
RonaĂ«l Pierre-Gabriel,fr FRA,DF,21,3000000,8,574,0,1,0.0,0.4,0.0,2,279,20,88
Ăngel Montoro,es ESP,MF,31,1000000,15,973,2,5,1.2,1.2,1.2,14,580,17,156
Lazar Samardzic,de GER,MF,17,50000,3,34,0,0,0.0,0.0,0.0,0,7,4,26
VĂ­ctor Campuzano,es ESP,FW,22,2000000,20,870,0,0,1.4,0.1,1.4,18,151,14,215
Josh Brownhill,eng ENG,MF,23,5000000,10,805,0,0,0.4,0.2,0.4,5,340,15,111
Paolo Ghiglione,it ITA,DF,22,3000000,25,1717,0,5,1.0,2.0,1.0,21,900,31,258
Muhamed BeĹˇiÄ‡,ba BIH,MF,26,2000000,9,250,0,0,0.1,0.1,0.1,4,106,9,71
Matija NastasiÄ‡,rs SRB,DF,26,10000000,16,1365,0,0,1.0,0.2,1.0,12,903,37,138
Sebastien De Maio,fr FRA,DF,32,72500,21,1500,0,0,0.9,0.0,0.9,9,661,21,144
Simon KjĂ¦r,dk DEN,DF,30,7000000,15,1240,0,0,0.5,0.0,0.5,6,682,25,123
Juan Bernat,es ESP,"DF,MF",26,16000000,18,1388,0,4,0.5,2.3,0.5,6,1122,43,238
Denis Cheryshev,ru RUS,"MF,FW",28,4000000,24,926,1,2,2.9,1.2,2.9,21,349,12,173
Manuel Gulde,de GER,DF,28,2000000,17,1371,1,0,1.0,0.2,1.0,14,818,30,130
Jota,es ESP,"FW,MF",28,2500000,10,335,0,1,0.2,0.6,0.2,6,98,3,119
Pierre Lees-Melou,fr FRA,MF,26,8000000,26,2252,5,6,3.5,4.3,3.5,53,1224,69,606
Lucas HernĂˇndez,fr FRA,DF,23,56000000,19,920,0,1,0.6,1.1,0.6,3,819,20,125
Diego Laxalt,uy URU,"DF,MF",26,5000000,16,596,0,1,0.2,0.5,0.2,5,297,23,155
Lucas Digne,fr FRA,DF,26,28000000,35,3030,0,7,1.4,6.0,1.4,29,1946,87,498
Gonzalo Villar,es ESP,MF,21,2000000,9,299,0,0,0.9,0.1,0.9,2,144,4,79
VĂ­ctor GarcĂ­a,es ESP,"FW,MF",22,25000,2,88,1,0,0.1,0.1,0.1,2,36,2,9
Richarlison,br BRA,FW,22,60000000,36,3070,13,3,9.1,4.8,9.1,91,823,68,710
Lasse SchĂ¶ne,dk DEN,MF,33,2000000,32,2427,2,3,3.0,3.2,2.2,34,1634,46,485
Federico Barba,it ITA,DF,25,1000000,5,450,0,0,0.0,0.1,0.0,1,218,11,42
Andreas Cornelius,dk DEN,FW,26,8000000,26,1494,12,3,7.2,1.6,7.2,45,413,8,219
Enock Kwateng,fr FRA,DF,22,3000000,14,983,0,1,0.2,0.4,0.2,4,620,37,147
Matthias Ginter,de GER,DF,25,28000000,31,2780,1,1,1.7,1.2,1.7,19,2156,37,198
Brais MĂ©ndez,es ESP,"MF,FW",22,12000000,31,1477,0,2,1.5,1.1,1.5,24,686,22,314
Christopher Antwi-Adjei,gh GHA,"MF,FW",25,1000000,34,2470,1,2,4.6,3.2,4.6,47,846,31,483
Enis Bardhi,mk MKD,MF,24,12000000,30,2114,7,2,4.6,1.9,4.6,56,853,34,405
Nemanja MaksimoviÄ‡,rs SRB,MF,24,20000000,35,2895,2,0,3.1,0.9,3.1,32,730,53,698
Junior Sambia,fr FRA,"DF,MF",22,2000000,17,587,1,1,0.5,0.1,0.5,13,250,14,121
JosĂ© MarĂ­a GimĂ©nez,uy URU,DF,24,70000000,21,1755,0,0,0.5,0.0,0.5,11,853,24,98
Oliver Skipp,eng ENG,"MF,DF",18,7000000,7,77,0,0,0.0,0.0,0.0,0,38,3,31
Carles PĂ©rez,es ESP,"FW,MF",21,9000000,14,566,1,3,1.7,1.2,1.7,21,220,13,111
Ezri Konsa,eng ENG,DF,21,6000000,25,2039,1,2,1.6,0.5,1.6,11,853,27,193
Robert Lewandowski,pl POL,FW,30,56000000,31,2759,34,4,27.5,5.7,23.7,134,783,19,387
Willy Caballero,ar ARG,GK,37,60000,5,450,0,0,0.0,0.0,0.0,0,165,0,0
Paul Pogba,fr FRA,MF,26,80000000,16,1204,1,3,2.0,2.7,1.2,21,1026,25,165
Martin Harnik,at AUT,"MF,FW",32,1000000,2,9,0,0,0.0,0.0,0.0,0,4,0,4
Henry Onyekuru,ng NGA,"FW,MF",22,8000000,4,160,0,1,0.2,0.2,0.2,1,47,1,37
Philippe Coutinho,br BRA,"MF,FW",27,56000000,23,1411,8,6,7.7,3.5,7.0,56,867,28,235
Ramy Bensebaini,dz ALG,DF,24,9000000,19,1448,5,3,3.5,2.5,2.0,20,926,34,209
Arthur Melo,br BRA,MF,22,60000000,21,1182,3,3,1.3,1.2,1.3,8,1060,17,188
Jimmy Briand,fr FRA,FW,33,1000000,22,1525,7,1,5.6,1.1,4.8,27,343,10,384
Marcus Ingvartsen,dk DEN,"MF,FW",23,1000000,28,1716,5,2,4.0,1.1,3.2,43,502,20,485
Roberto Soldado,es ESP,FW,34,80000,33,2347,7,4,4.7,3.8,3.9,33,568,16,364
Arkadiusz Milik,pl POL,FW,25,32000000,26,1747,11,0,10.2,2.1,10.2,67,468,16,286
AndrĂ© Hoffmann,de GER,DF,26,2500000,29,2428,2,1,1.2,0.5,1.2,13,1335,40,225
Martin Valjent,sk SVK,DF,23,2000000,36,3182,0,0,0.5,0.6,0.5,14,1207,34,208
Moussa Doumbia,ml MLI,"FW,MF",24,2000000,26,1718,2,1,2.9,1.9,2.1,41,681,21,277
Luigi Vitale,it ITA,DF,31,32500,2,41,0,0,0.0,0.0,0.0,0,13,0,8
Manuel Neuer,de GER,GK,33,14000000,33,2970,0,0,0.0,0.0,0.0,0,1446,1,6
Stefan Posch,at AUT,DF,22,11000000,28,2308,0,0,2.0,0.9,2.0,24,1480,84,342
Adam MaruĹˇiÄ‡,me MNE,DF,26,5500000,15,942,2,1,1.6,0.5,1.6,11,398,15,145
Marlon Ritter,de GER,MF,24,40000,11,435,0,1,0.3,1.4,0.3,9,203,9,71
Jhon CĂłrdoba,co COL,FW,26,9000000,29,1998,13,2,9.6,1.6,9.6,64,408,14,446
Ales Mateju,cz CZE,DF,23,1500000,31,2548,0,1,0.4,1.0,0.4,6,1154,51,403
Theoson Siebatcheu,fr FRA,FW,23,3500000,14,440,0,1,1.0,0.6,1.0,10,103,6,105
Aleksandar Sedlar,rs SRB,DF,27,65000,12,814,0,0,0.0,0.0,0.0,1,399,16,87
Lukas Rupp,de GER,"FW,MF",28,2000000,12,695,0,0,0.3,0.8,0.3,5,155,11,74
DuvĂˇn Zapata,co COL,FW,28,36000000,28,2026,18,6,14.1,4.5,13.4,87,601,7,237
Vincent Manceau,fr FRA,DF,30,1000000,22,1980,0,0,0.2,1.0,0.2,8,1317,49,290
Nicolas Nkoulou,cm CMR,DF,29,10000000,31,2692,1,0,1.0,0.1,1.0,10,1139,41,217
Samuel Moutoussamy,cd COD,"DF,FW",22,3000000,18,523,0,0,0.4,0.6,0.4,4,318,6,85
Obite N'Dicka,fr FRA,DF,19,22500000,22,1721,1,1,0.6,1.0,0.6,9,1057,35,311
Danny Rose,eng ENG,DF,29,16000000,11,863,0,0,0.0,0.2,0.0,0,419,26,92
Ilkay Gundogan,de GER,MF,28,40000000,31,2020,2,1,4.4,2.7,2.9,31,1956,28,255
TomĂˇĹˇ Koubek,cz CZE,GK,26,2500000,24,2160,0,0,0.0,0.1,0.0,0,840,0,7
Akin Famewo,eng ENG,MF,20,2500,1,1,0,0,0.0,0.0,0.0,0,0,0,0
Pedro Porro,es ESP,"DF,MF",19,9000000,13,739,0,0,0.0,0.2,0.0,1,369,18,98
Grischa PrĂ¶mel,de GER,MF,24,1000000,16,924,0,0,0.6,0.2,0.6,10,358,19,159
Romelu Lukaku,be BEL,FW,26,68000000,36,2979,23,2,20.1,5.2,15.5,95,809,11,257
Yohann PelĂ©,fr FRA,GK,36,25000,2,150,0,0,0.0,0.0,0.0,0,47,0,0
Anuar,ma MAR,"MF,FW",24,1200000,11,189,0,0,0.0,0.0,0.0,1,101,4,37
Enric Gallego,es ESP,FW,32,1000000,5,164,0,0,0.2,0.0,0.2,3,48,4,19
Levent Mercan,de GER,MF,18,90000,5,71,0,0,0.0,0.0,0.0,1,30,0,17
Maxime PoundjĂ©,fr FRA,DF,26,2000000,2,4,0,0,0.0,0.0,0.0,0,5,0,0
Dani Olmo,es ESP,"MF,FW",21,33000000,12,747,3,1,1.3,1.4,1.3,21,372,19,163
Matt Doherty,ie IRL,DF,27,16000000,36,2839,4,3,5.2,1.8,5.2,34,1793,65,379
Iddrisu Baba,gh GHA,MF,23,2000000,36,2903,0,0,0.9,0.2,0.9,15,1285,68,580
Joshua Zirkzee,nl NED,FW,18,6000000,9,297,4,0,1.9,0.0,1.9,11,88,5,84
VĂ­ctor Camarasa,es ESP,MF,25,4000000,1,6,0,0,0.0,0.0,0.0,0,3,0,0
Mehdi Abeid,dz ALG,MF,26,2000000,25,1817,1,2,1.6,1.4,1.6,33,957,60,417
Felix Wiedwald,de GER,GK,29,47500,3,270,0,0,0.0,0.0,0.0,0,103,0,1
Sokratis Papastathopoulos,gr GRE,DF,31,6000000,19,1696,2,0,1.0,0.2,1.0,7,973,23,181
Ihlas Bebou,tg TOG,"FW,MF",25,8000000,32,2102,6,1,4.3,3.3,4.3,35,643,26,366
Maxwel Cornet,ci CIV,"FW,DF",22,10000000,22,1330,4,3,2.7,2.7,2.7,24,690,28,219
Martin Hinteregger,at AUT,DF,26,14000000,31,2721,8,1,3.8,0.5,3.8,45,1651,67,329
Sebastian Rudy,de GER,MF,29,5000000,32,2734,1,3,1.3,4.6,1.3,25,1533,76,459
Ibrahima Niane,sn SEN,FW,20,3000000,21,951,3,0,2.3,0.3,1.6,29,287,15,181
JoĂŁo Pedro,br BRA,"FW,MF",27,14000000,36,3151,18,4,13.6,2.8,9.0,1,14,0,6
Robin Zentner,de GER,GK,24,3000000,22,1935,0,0,0.0,0.1,0.0,0,800,0,1
Robert Skov,dk DEN,"DF,FW",23,10000000,31,2608,4,7,4.0,4.7,4.0,63,1340,47,292
Jeff Reine-AdĂ©laĂŻde,fr FRA,"MF,FW",21,22000000,14,783,2,1,1.0,1.6,1.0,2,36,3,11
Kelvin Ofori,gh GHA,"MF,FW",18,30000,2,37,0,0,0.0,0.0,0.0,1,22,0,4
Moussa Sissoko,fr FRA,MF,29,20000000,29,2452,2,1,2.4,1.1,2.4,14,1279,56,437
Mikel Vesga,es ESP,MF,26,2000000,20,1269,0,1,0.8,0.7,0.8,14,573,34,340
Lucas PaquetĂˇ,br BRA,"MF,FW",21,22000000,24,1103,0,1,2.3,1.2,2.3,34,578,39,301
Davide Santon,it ITA,DF,28,4000000,15,619,0,0,0.1,0.1,0.1,2,406,13,104
Jonas Martin,fr FRA,MF,29,2000000,3,113,0,0,0.1,0.2,0.1,1,79,5,16
RubĂ©n PeĂ±a,es ESP,DF,28,6000000,26,1909,2,2,1.2,1.3,1.2,6,1313,48,400
KĂ©vin Gameiro,fr FRA,FW,32,6000000,29,1581,6,2,5.4,3.0,4.6,19,436,15,348
Giuseppe Pezzella,it ITA,DF,21,2000000,22,949,0,0,0.1,0.2,0.1,3,487,17,146
Dereck Kutesa,ch SUI,"FW,MF",21,1000000,14,528,1,0,0.2,0.3,0.2,4,152,8,84
Lukas Rupp,de GER,"MF,FW",28,2000000,7,340,0,0,0.3,0.1,0.3,4,260,13,192
Alberto Cerri,it ITA,FW,23,3000000,11,244,1,0,0.6,0.2,0.6,7,103,4,34
Kai Havertz,de GER,"MF,FW",20,81000000,30,2454,12,6,9.1,6.2,8.3,58,1416,26,335
Moussa Diaby,fr FRA,"FW,MF",20,27000000,28,1771,5,5,4.8,4.7,4.8,41,700,9,238
Alexis Saelemaekers,be BEL,"FW,MF",20,6000000,13,684,1,0,0.8,0.9,0.8,9,340,14,127
Oliver McBurnie,sco SCO,FW,23,8000000,36,2113,6,0,7.7,1.5,7.7,49,629,35,615
Luka MilivojeviÄ‡,rs SRB,MF,28,16000000,31,2513,3,1,2.5,1.8,1.0,29,1506,60,519
William Saliba,fr FRA,DF,18,22000000,12,992,0,0,0.1,0.0,0.1,3,544,26,88
Sargis Adamyan,am ARM,"FW,MF",26,4000000,15,746,5,1,4.1,0.9,4.1,20,191,10,209
Andrea Masiello,it ITA,DF,33,1000000,7,543,0,0,0.0,0.2,0.0,0,297,14,79
Stanley N'Soki,fr FRA,DF,20,8000000,17,1273,0,1,0.3,0.9,0.3,3,1006,39,173
David Brooks,wal WAL,MF,22,24000000,9,506,1,0,0.8,0.4,0.8,6,179,4,102
Fabian Reese,de GER,FW,21,60000,2,86,0,0,0.1,0.4,0.1,3,19,1,20
Simon Falette,gn GUI,DF,27,2000000,1,90,0,0,0.0,0.0,0.0,0,57,1,14
Cristiano Biraghi,it ITA,"DF,MF",26,9000000,26,1576,2,6,1.0,3.5,1.0,10,901,28,230
Bruno GonzĂˇlez,es ESP,DF,29,1000000,6,456,0,0,0.0,0.0,0.0,1,201,7,42
Marvin Zeegelaar,nl NED,DF,28,1000000,13,593,0,1,0.0,0.5,0.0,0,303,18,120
Roberto,es ESP,GK,33,800,9,790,0,0,0.0,0.0,0.0,1,238,1,1
Bosko Sutalo,hr CRO,DF,19,3000000,7,280,0,0,0.1,0.1,0.1,1,172,3,43
Ezequiel Ăvila,ar ARG,FW,25,10000000,20,1591,9,2,7.0,2.7,7.0,68,323,19,342
Jetro Willems,nl NED,DF,25,5000000,19,1493,2,2,0.6,1.2,0.6,14,582,32,230
Mitchell Dijks,nl NED,DF,26,4000000,13,1006,0,0,0.0,0.8,0.0,0,545,16,113
Emil Krafth,se SWE,DF,24,4000000,17,1020,0,1,0.3,0.4,0.3,4,433,20,134
JosĂ© Holebas,gr GRE,DF,35,1000000,14,1025,0,0,0.5,0.8,0.5,6,608,25,179
Timo Werner,de GER,FW,23,64000000,34,2795,28,8,22.3,8.8,20.0,117,1065,14,422
Irvin Cardona,fr FRA,"FW,MF",21,4000000,21,1450,6,3,6.3,1.8,6.3,50,441,16,331
Roberto,es ESP,GK,33,800,8,687,0,0,0.0,0.0,0.0,0,232,0,0
Ambroise Oyongo,cm CMR,DF,28,2000000,21,1821,0,0,0.3,1.0,0.3,10,897,20,280
Roger AssalĂ©,ci CIV,"FW,MF",25,6000000,14,531,2,1,1.7,1.1,1.7,11,127,3,70
Markus Suttner,at AUT,"DF,MF",32,80000,21,1339,0,1,0.5,0.6,0.5,15,830,28,214
Aleix Febas,es ESP,MF,23,2000000,29,1690,0,3,0.6,1.4,0.6,8,691,40,366
JoaquĂ­n,es ESP,"MF,FW",38,1500000,34,2060,8,3,5.5,5.4,3.2,32,1163,17,221
Roberto Soriano,it ITA,MF,28,6000000,29,2469,5,5,3.7,5.3,3.7,37,1227,52,455
David Costas,es ESP,DF,24,1000000,6,338,0,0,0.1,0.0,0.1,1,198,7,26
Angus Gunn,eng ENG,GK,23,6000000,10,900,0,0,0.0,0.0,0.0,0,256,0,3
Paul Delecroix,fr FRA,GK,30,40000,2,136,0,0,0.0,0.0,0.0,0,44,0,0
Lucas Alario,ar ARG,FW,26,13000000,24,1174,7,1,7.1,2.1,6.3,47,308,7,185
Khiry Shelton,us USA,"FW,MF",26,40000,2,34,0,0,0.0,0.0,0.0,0,4,0,12
Javi GarcĂ­a,es ESP,MF,32,1000000,8,377,0,0,0.2,0.0,0.2,4,191,2,33
Ălvaro Odriozola,es ESP,DF,23,16000000,3,152,0,0,0.0,0.4,0.0,2,176,8,39
Gio Reyna,us USA,"MF,FW",16,30000000,15,355,0,1,0.1,0.8,0.1,4,222,5,80
Juan Foyth,ar ARG,DF,21,13000000,4,68,0,0,0.0,0.0,0.0,0,60,7,14
Mathias JĂ¸rgensen,dk DEN,DF,29,2000000,9,498,0,1,0.0,0.1,0.0,0,227,8,38
Benito Raman,be BEL,FW,24,8000000,25,1601,4,3,4.2,2.1,4.2,33,342,16,448
Sebastian Langkamp,de GER,DF,31,80000,5,314,0,0,0.4,0.0,0.4,4,190,5,27
Giacomo Vrioni,al ALB,FW,20,45000,1,12,0,0,0.0,0.0,0.0,0,2,0,5
Demba Thiam,sn SEN,GK,21,10000,2,180,0,0,0.0,0.0,0.0,0,71,0,0
Krzysztof PiÄ…tek,pl POL,FW,24,21500000,18,1183,4,0,6.2,0.9,3.9,45,239,6,339
Aymeric Laporte,fr FRA,DF,25,60000000,15,1097,1,0,0.3,0.1,0.3,4,1114,12,62
ValĂ¨re Germain,fr FRA,FW,29,4000000,25,1350,2,4,1.6,1.6,1.6,21,440,23,281
Alexander Tettey,no NOR,"MF,DF",33,1000000,30,2338,1,1,0.8,0.8,0.8,23,1242,31,384
Koray GĂĽnter,de GER,DF,24,2000000,32,2733,0,0,0.5,0.2,0.5,6,1363,36,334
Samu Castillejo,es ESP,"FW,MF",24,11000000,22,1209,2,3,3.2,3.0,3.2,31,560,25,327
Victorien Angban,ci CIV,MF,22,2000000,20,1029,0,0,0.1,0.0,0.1,4,622,25,243
Ashley Young,eng ENG,DF,34,3000000,12,955,0,0,0.1,1.2,0.1,3,735,10,119
Odion Ighalo,ng NGA,FW,30,5000000,11,101,0,0,1.5,0.1,1.5,7,23,2,23
Abdallahi Mahmoud,mr MTN,MF,19,10000,3,152,0,0,0.0,0.0,0.0,0,38,5,39
Andrea Favilli,it ITA,FW,22,4000000,20,658,0,0,1.6,0.8,1.6,14,193,7,110
Miralem PjaniÄ‡,ba BIH,MF,29,50000000,30,2277,3,6,1.0,3.3,1.0,21,2014,46,384
Milan Badelj,hr CRO,MF,30,2000000,22,1585,1,0,1.3,1.0,1.3,16,963,36,318
Benjamin Henrichs,de GER,"DF,MF",22,12000000,13,890,0,0,1.1,0.8,1.1,10,527,25,170
Alessandro Deiola,it ITA,MF,23,95000,1,1,0,0,0.0,0.0,0.0,0,1,0,0
Mario Balotelli,it ITA,FW,28,5000000,19,1404,5,0,7.2,0.5,7.2,71,368,4,153
Faouzi Ghoulam,dz ALG,DF,28,9000000,9,376,0,1,0.2,1.0,0.2,4,300,8,42
Wilfrid Kaptoum,cm CMR,MF,23,2000000,5,194,0,0,0.1,0.0,0.1,3,71,6,43
Jessy Moulin,fr FRA,GK,33,25000,5,450,0,0,0.0,0.0,0.0,0,176,0,2
Dennis Geiger,de GER,MF,21,11000000,21,1136,0,3,1.2,2.0,1.2,14,621,15,215
Dimitri LiĂ©nard,fr FRA,MF,31,1000000,22,1489,2,3,1.6,2.7,1.6,34,1038,42,322
Danilo D'Ambrosio,it ITA,DF,30,10000000,22,1402,4,0,1.8,1.4,1.8,7,902,34,276
Riyad Mahrez,dz ALG,FW,28,48000000,33,1944,11,9,7.2,8.8,6.4,73,1188,32,394
Lewis Cook,eng ENG,MF,22,16000000,27,1352,0,0,0.3,1.0,0.3,9,719,27,375
Matty James,eng ENG,MF,28,1000000,1,6,0,0,0.0,0.0,0.0,0,6,0,2
Fernando,br BRA,MF,32,4000000,34,2659,2,3,2.1,0.6,2.1,14,1536,66,508
